Operation,Part Number,Description,Reference,,,,Part Number,Reference,,Part Number,Ref.,Skip
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C23,,,,106-0264-02,C23,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C24,,,,106-0275-02,C24,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C25,,,,106-0275-02,C25,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C26,,,,106-0264-02,C26,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C27,,,,106-0264-02,C27,,,,
20,106-0300-02,CAP 1UF 16V 10% X7R 0603                ,C28,,,,106-0300-02,C28,,,,
20,106-0263-02,CAP 2.2UF CM 6.3V 10% X5R 0603,C29,,,,106-0263-02,C29,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C30,,,,106-0264-02,C30,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C31,,,,106-0239-02,C31,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C32,,,,106-0264-02,C32,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C33,,,,106-0239-02,C33,,,,
20,106-0263-02,CAP 2.2UF CM 6.3V 10% X5R 0603,C34,,,,106-0263-02,C34,,,,
20,106-0258-02,CAP 27PF CM 50V 5% COG 0402             ,C35,,,,106-0258-02,C35,,,,
20,106-0258-02,CAP 27PF CM 50V 5% COG 0402             ,C36,,,,106-0258-02,C36,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C37,,,,106-0275-02,C37,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C38,,,,106-0275-02,C38,,,,
20,106-0479-02,CAP 33NF CM 25V 10% X7R 0402            ,C39,,,,106-0479-02,C39,,,,
20,106-0502-02,CAP 10UF CM 10V 10% X5R 0805            ,C40,,,,106-0502-02,C40,,,,
20,106-0502-02,CAP 10UF CM 10V 10% X5R 0805            ,C403,,,,106-0502-02,C403,,,,
20,106-0197-02,CAP 1000PF CM 25V 10% X7R 0402,C41,,,,106-0197-02,C41,,,,
20,106-0266-02,CAP .1UF CM 50V 10% X7R 0603,C42,,,,106-0266-02,C42,,,,
20,106-0241-02,CAP 120PF CM 50V 5% NPO 0402            ,C43,,,,106-0241-02,C43,,,,
20,106-0197-02,CAP 1000PF CM 25V 10% X7R 0402,C44,,,,106-0197-02,C44,,,,
20,106-0245-02,CAP .01UF CM 16V X7R 10% 0402           ,C45,,,,106-0245-02,C45,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C46,,,,106-0239-02,C46,,,,
20,106-20138-02,CAP CM 10UF 50V 10% X7R 1210,C47,,,,106-20138-02,C47,,,,
20,106-0550-02,CAP 470PF 0402 50V NPO +/-5%            ,C5,,,,106-0550-02,C5,,,,
20,106-0263-02,CAP 2.2UF CM 6.3V 10% X5R 0603,C50,,,,106-0263-02,C50,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C51,,,,106-0299-02,C51,,,,
20,106-0266-02,CAP .1UF CM 50V 10% X7R 0603,C52,,,,106-0266-02,C52,,,,
20,106-0547-02,CAP .01UF CM 100V 10% X7R 0603,C53,,,,106-0547-02,C53,,,,
20,106-0245-02,CAP .01UF CM 16V X7R 10% 0402           ,C54,,,,106-0245-02,C54,,,,
20,106-0217-02,CAP .22UF CM 10V 10% X7R 0603           ,C55,,,,106-0217-02,C55,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C56,,,,106-0299-02,C56,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C57,,,,106-0299-02,C57,,,,
20,106-0263-02,CAP 2.2UF CM 6.3V 10% X5R 0603,C59,,,,106-0263-02,C59,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C6,,,,106-0275-02,C6,,,,
20,106-0263-02,CAP 2.2UF CM 6.3V 10% X5R 0603,C60,,,,106-0263-02,C60,,,,
20,095-0008-02,CAP 100UF AE 25V SMT                    ,C61,,,,095-0008-02,C61,,,,
20,095-0049-02,CAP 68UF AE 25V 6.3x6.3mm SMD,C62,,,,095-0049-02,C62,,,,
20,106-0245-02,CAP .01UF CM 16V X7R 10% 0402           ,C63,,,,106-0245-02,C63,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C64,,,,106-0299-02,C64,,,,
20,106-0558-02,CAP 6.8PF +/-0.5PF 50V 0402,C65,,,,106-0558-02,C65,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C66,,,,106-0299-02,C66,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C67,,,,106-0264-02,C67,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C68,,,,106-0239-02,C68,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C69,,,,106-0239-02,C69,,,,
20,106-0502-02,CAP 10UF CM 10V 10% X5R 0805            ,C7,,,,106-0502-02,C7,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C70,,,,106-0239-02,C70,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C72,,,,106-0239-02,C72,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C73,,,,106-0239-02,C73,,,,
20,106-0258-02,CAP 27PF CM 50V 5% COG 0402             ,C76,,,,106-0258-02,C76,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C78,,,,106-0299-02,C78,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C8,,,,106-0275-02,C8,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C80,,,,106-0299-02,C80,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C81,,,,106-0299-02,C81,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C82,,,,106-0299-02,C82,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C84,,,,106-0264-02,C84,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C86,,,,106-0239-02,C86,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C9,,,,106-0275-02,C9,,,,
20,106-0502-02,CAP 10UF CM 10V 10% X5R 0805            ,C90,,,,106-0502-02,C90,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C93,,,,106-0299-02,C93,,,,
20,106-0245-02,CAP .01UF CM 16V X7R 10% 0402           ,C94,,,,106-0245-02,C94,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C95,,,,106-0264-02,C95,,,,
20,106-0502-02,CAP 10UF CM 10V 10% X5R 0805            ,C96,,,,106-0502-02,C96,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C97,,,,106-0299-02,C97,,,,
20,106-0242-02,CAP 18PF CM 50V NPO 5% 0402             ,C98,,,,106-0242-02,C98,,,,
20,106-0242-02,CAP 18PF CM 50V NPO 5% 0402             ,C99,,,,106-0242-02,C99,,,,
20,016-0098-01,DIO MM3Z18VT1G ZNR 18V SOD-323          ,D1,,,,016-0098-01,D1,,,,
20,016-23217-00,DIO SCHTKY BARR 1A 40V SOD-123FL,D2,,,,016-23217-00,D2,,,,
20,027-0046-00,FRRT BEAD EMI FLTR SMT LL0603           ,L10,,,,027-0046-00,L10,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L11,,,,027-0041-00,L11,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L12,,,,027-0041-00,L12,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L14,,,,027-0041-00,L14,,,,
